k,cell_type_plot,broad_cluster
4,T-helper 17 cell,3
4,T-helper 22 cell,3
4,"activated CD4+, alpha-beta T cell",3
4,"activated CD8+, alpha-beta T cell",3
4,alveolar type 1 fibroblast cell,3
4,amacrine cell,3
4,cardiac neuron,3
4,class switched mem. B cell,3
4,immature innate lymphoid cell,3
4,mature B cell,3
4,mem. B cell,3
4,mem. T cell,3
4,naive B cell,3
4,plasma cell,3
4,plasmablast,3
4,transitional stage B cell,3
4,erythroblast,4
4,erythrocyte,4
4,granulocyte,4
4,hematopoietic stem cell,4
4,immature B cell,4
4,lymphoid lineage restricted progenitor cell,4
4,mast cell,4
4,megakaryocyte-erythroid progenitor cell,4
4,pre. B cell,4
4,pro-B cell,4
4,promonocyte,4
4,sst GABAergic cortical interneuron,4
5,Bergmann glial cell,0
5,L6b glutamatergic cortical neuron,0
5,Schwann cell,0
5,alveolar type 1 fibroblast cell,0
5,alveolar type 2 fibroblast cell,0
5,astrocyte,0
5,basal cell,0
5,basal cell of epithelium of trachea,0
5,blood vessel endothelial cell,0
5,bronchus fibroblast of lung,0
5,capillary endothelial cell,0
5,cardiac muscle cell,0
5,cardiac neuron,0
5,central nervous sys. macrophage,0
5,ciliated columnar cell of tracheobronchial tree,0
5,club cell,0
5,corticothalamic-project. glutamatergic cortical neuron,0
5,double negative thymocyte,0
5,"double+, alpha-beta thymocyte",0
5,endothelial cell,0
5,endothelial cell of artery,0
5,endothelial cell of lymphatic vessel,0
5,enteric smooth muscle cell,0
5,enterocyte,0
5,enteroendocrine cell,0
5,epith. cell of proximal tubule,0
5,fibroblast of cardiac tissue,0
5,foveolar cell of stomach,0
5,goblet cell,0
5,granulosa cell,0
5,intestine goblet cell,0
5,keratinocyte,0
5,kidney collecting duct intercalated cell,0
5,kidney collecting duct principal cell,0
5,kidney connecting tubule epith. cell,0
5,kidney distal convoluted tubule epith. cell,0
5,kidney loop Henle thick asc. limb epith. cell,0
5,kidney loop Henle thin asc. limb epith. cell,0
5,kidney loop Henle thin des. limb epith. cell,0
5,lamp5 GABAergic cortical interneuron,0
5,luminal epith. cell of mammary gland,0
5,mesothelial cell,0
5,mucous neck cell,0
5,myoepithelial cell of mammary gland,0
5,nasal mucosa goblet cell,0
5,oligodendrocyte,0
5,paneth cell,0
5,pericyte,0
5,pro-B cell,0
5,pulmonary artery endothelial cell,0
5,pvalb GABAergic cortical interneuron,0
5,respiratory basal cell,0
5,respiratory hillock cell,0
5,retina horizontal cell,0
5,retinal cone cell,0
5,retinal ganglion cell,0
5,retinal rod cell,0
5,smooth muscle cell,0
5,tracheal goblet cell,0
5,tracheobronchial smooth muscle cell,0
5,type I pneumocyte,0
5,type II pneumocyte,0
5,vascular assoc. smooth muscle cell,0
5,vein endothelial cell,0
5,vip GABAergic cortical interneuron,0
5,"CD16+, CD56-dim NK cell",1
5,"CD16-, CD56-bright NK cell",1
5,CD4+ helper T cell,1
5,"CD4+, alpha-beta T cell",1
5,"CD4+, alpha-beta cytotoxic T cell",1
5,"CD4+, alpha-beta mem. T cell",1
5,"CD8+, alpha-beta T cell",1
5,"CD8+, alpha-beta cytotoxic T cell",1
5,"CD8+, alpha-beta mem. T cell",1
5,"CD8-alpha-alpha+, lpha-eta intraepith. T cell",1
5,NK cell,1
5,T cell,1
5,T follicular helper cell,1
5,T-helper 17 cell,1
5,T-helper 22 cell,1
5,"activated CD4+, alpha-beta T cell",1
5,"activated CD8+, alpha-beta T cell",1
5,alpha-beta T cell,1
5,amacrine cell,1
5,astrocyte of the cerebral cortex,1
5,"central mem. CD4+, alpha-beta T cell",1
5,"central mem. CD8+, alpha-beta T cell",1
5,chandelier pvalb GABAergic cortical interneuron,1
5,double negative T regulatory cell,1
5,"effector CD8+, alpha-beta T cell",1
5,"effector mem. CD4+, alpha-beta T cell",1
5,"effector mem. CD8+, alpha-beta T cell",1
5,"effector mem. CD8+, alpha-beta T cell, term. diff.",1
5,exhausted T cell,1
5,fallopian tube secretory epith. cell,1
5,gamma-delta T cell,1
5,immature innate lymphoid cell,1
5,innate lymphoid cell,1
5,intraepithelial lymphocyte,1
5,kidney interstitial fibroblast,1
5,leukocyte,1
5,lymphocyte,1
5,mature NK T cell,1
5,mature T cell,1
5,mature alpha-beta T cell,1
5,mature gamma-delta T cell,1
5,mem. T cell,1
5,mucosal invariant T cell,1
5,naive T cell,1
5,"naive thym.-der. CD4+, alpha-beta T cell",1
5,"naive thym.-der. CD8+, alpha-beta T cell",1
5,platelet,1
5,regulatory T cell,1
5,renal interstitial pericyte,1
5,sncg GABAergic cortical interneuron,1
5,CD14+ monocyte,2
5,"CD14+, CD16+ monocyte",2
5,"CD14+, CD16- clas. monocyte",2
5,"CD14-low, CD16+ monocyte",2
5,CD1c+ myeloid dendritic cell,2
5,L2/3-6 IT projecting neuron,2
5,alternatively activated macrophage,2
5,alveolar macrophage,2
5,clas. monocyte,2
5,conventional dendritic cell,2
5,dendritic cell,2
5,elicited macrophage,2
5,glutamatergic neuron,2
5,inflammatory macrophage,2
5,intermediate monocyte,2
5,lung macrophage,2
5,lung pericyte,2
5,macrophage,2
5,microglial cell,2
5,monocyte,2
5,near-project. glutamatergic cortical neuron,2
5,neuron,2
5,neutrophil,2
5,non-classical monocyte,2
5,oligodendrocyte pre. cell,2
5,plasmacytoid dendritic cell,2
5,B cell,3
5,IgA plasma cell,3
5,IgG plasma cell,3
5,caudal ganglionic eminence der. GABAergic cortical interneuron,3
5,class switched mem. B cell,3
5,ependymal cell,3
5,erythroblast,3
5,erythrocyte,3
5,granulocyte,3
5,hematopoietic stem cell,3
5,immature B cell,3
5,lymphoid lineage restricted progenitor cell,3
5,mast cell,3
5,mature B cell,3
5,megakaryocyte-erythroid progenitor cell,3
5,mem. B cell,3
5,naive B cell,3
5,plasma cell,3
5,plasmablast,3
5,pre. B cell,3
5,promonocyte,3
5,sst GABAergic cortical interneuron,3
5,transitional stage B cell,3
6,Bergmann glial cell,0
6,L6b glutamatergic cortical neuron,0
6,Schwann cell,0
6,alveolar type 1 fibroblast cell,0
6,alveolar type 2 fibroblast cell,0
6,astrocyte,0
6,basal cell,0
6,basal cell of epithelium of trachea,0
6,blood vessel endothelial cell,0
6,bronchus fibroblast of lung,0
6,capillary endothelial cell,0
6,cardiac muscle cell,0
6,cardiac neuron,0
6,caudal ganglionic eminence der. GABAergic cortical interneuron,0
6,central nervous sys. macrophage,0
6,ciliated columnar cell of tracheobronchial tree,0
6,club cell,0
6,corticothalamic-project. glutamatergic cortical neuron,0
6,double negative thymocyte,0
6,"double+, alpha-beta thymocyte",0
6,endothelial cell,0
6,endothelial cell of artery,0
6,endothelial cell of lymphatic vessel,0
6,enteric smooth muscle cell,0
6,enterocyte,0
6,enteroendocrine cell,0
6,epith. cell of proximal tubule,0
6,fibroblast of cardiac tissue,0
6,foveolar cell of stomach,0
6,goblet cell,0
6,granulosa cell,0
6,intestine goblet cell,0
6,keratinocyte,0
6,kidney collecting duct intercalated cell,0
6,kidney collecting duct principal cell,0
6,kidney connecting tubule epith. cell,0
6,kidney distal convoluted tubule epith. cell,0
6,kidney loop Henle thick asc. limb epith. cell,0
6,kidney loop Henle thin asc. limb epith. cell,0
6,kidney loop Henle thin des. limb epith. cell,0
6,lamp5 GABAergic cortical interneuron,0
6,luminal epith. cell of mammary gland,0
6,mesothelial cell,0
6,mucous neck cell,0
6,myoepithelial cell of mammary gland,0
6,nasal mucosa goblet cell,0
6,oligodendrocyte,0
6,paneth cell,0
6,pericyte,0
6,pulmonary artery endothelial cell,0
6,pvalb GABAergic cortical interneuron,0
6,respiratory basal cell,0
6,respiratory hillock cell,0
6,retina horizontal cell,0
6,retinal cone cell,0
6,retinal ganglion cell,0
6,retinal rod cell,0
6,smooth muscle cell,0
6,tracheal goblet cell,0
6,tracheobronchial smooth muscle cell,0
6,type I pneumocyte,0
6,type II pneumocyte,0
6,vascular assoc. smooth muscle cell,0
6,vein endothelial cell,0
6,vip GABAergic cortical interneuron,0
6,"CD16+, CD56-dim NK cell",1
6,"CD16-, CD56-bright NK cell",1
6,CD4+ helper T cell,1
6,"CD4+, alpha-beta T cell",1
6,"CD4+, alpha-beta cytotoxic T cell",1
6,"CD4+, alpha-beta mem. T cell",1
6,"CD8+, alpha-beta T cell",1
6,"CD8+, alpha-beta cytotoxic T cell",1
6,"CD8+, alpha-beta mem. T cell",1
6,"CD8-alpha-alpha+, lpha-eta intraepith. T cell",1
6,NK cell,1
6,T cell,1
6,T follicular helper cell,1
6,T-helper 17 cell,1
6,T-helper 22 cell,1
6,"activated CD4+, alpha-beta T cell",1
6,"activated CD8+, alpha-beta T cell",1
6,alpha-beta T cell,1
6,amacrine cell,1
6,astrocyte of the cerebral cortex,1
6,"central mem. CD4+, alpha-beta T cell",1
6,"central mem. CD8+, alpha-beta T cell",1
6,chandelier pvalb GABAergic cortical interneuron,1
6,double negative T regulatory cell,1
6,"effector CD8+, alpha-beta T cell",1
6,"effector mem. CD4+, alpha-beta T cell",1
6,"effector mem. CD8+, alpha-beta T cell",1
6,"effector mem. CD8+, alpha-beta T cell, term. diff.",1
6,exhausted T cell,1
6,fallopian tube secretory epith. cell,1
6,gamma-delta T cell,1
6,innate lymphoid cell,1
6,intraepithelial lymphocyte,1
6,kidney interstitial fibroblast,1
6,leukocyte,1
6,lymphocyte,1
6,lymphoid lineage restricted progenitor cell,1
6,mature NK T cell,1
6,mature T cell,1
6,mature alpha-beta T cell,1
6,mature gamma-delta T cell,1
6,mem. T cell,1
6,mucosal invariant T cell,1
6,naive T cell,1
6,"naive thym.-der. CD4+, alpha-beta T cell",1
6,"naive thym.-der. CD8+, alpha-beta T cell",1
6,platelet,1
6,regulatory T cell,1
6,renal interstitial pericyte,1
6,sncg GABAergic cortical interneuron,1
6,CD14+ monocyte,2
6,"CD14+, CD16+ monocyte",2
6,"CD14+, CD16- clas. monocyte",2
6,"CD14-low, CD16+ monocyte",2
6,CD1c+ myeloid dendritic cell,2
6,L2/3-6 IT projecting neuron,2
6,alternatively activated macrophage,2
6,alveolar macrophage,2
6,clas. monocyte,2
6,conventional dendritic cell,2
6,dendritic cell,2
6,elicited macrophage,2
6,glutamatergic neuron,2
6,granulocyte,2
6,inflammatory macrophage,2
6,intermediate monocyte,2
6,lung macrophage,2
6,lung pericyte,2
6,macrophage,2
6,microglial cell,2
6,monocyte,2
6,near-project. glutamatergic cortical neuron,2
6,neuron,2
6,neutrophil,2
6,non-classical monocyte,2
6,oligodendrocyte pre. cell,2
6,plasmacytoid dendritic cell,2
6,promonocyte,2
6,sst GABAergic cortical interneuron,2
6,B cell,3
6,IgA plasma cell,3
6,IgG plasma cell,3
6,class switched mem. B cell,3
6,ependymal cell,3
6,erythroblast,3
6,erythrocyte,3
6,hematopoietic stem cell,3
6,immature B cell,3
6,immature innate lymphoid cell,3
6,mast cell,3
6,mature B cell,3
6,megakaryocyte-erythroid progenitor cell,3
6,mem. B cell,3
6,naive B cell,3
6,plasma cell,3
6,plasmablast,3
6,pre. B cell,3
6,pro-B cell,3
6,transitional stage B cell,3
7,Bergmann glial cell,0
7,L6b glutamatergic cortical neuron,0
7,Schwann cell,0
7,alveolar type 1 fibroblast cell,0
7,alveolar type 2 fibroblast cell,0
7,astrocyte,0
7,basal cell,0
7,basal cell of epithelium of trachea,0
7,blood vessel endothelial cell,0
7,bronchus fibroblast of lung,0
7,capillary endothelial cell,0
7,cardiac muscle cell,0
7,cardiac neuron,0
7,caudal ganglionic eminence der. GABAergic cortical interneuron,0
7,central nervous sys. macrophage,0
7,ciliated columnar cell of tracheobronchial tree,0
7,club cell,0
7,corticothalamic-project. glutamatergic cortical neuron,0
7,double negative thymocyte,0
7,"double+, alpha-beta thymocyte",0
7,endothelial cell,0
7,endothelial cell of artery,0
7,endothelial cell of lymphatic vessel,0
7,enteric smooth muscle cell,0
7,enterocyte,0
7,enteroendocrine cell,0
7,epith. cell of proximal tubule,0
7,fibroblast of cardiac tissue,0
7,foveolar cell of stomach,0
7,glutamatergic neuron,0
7,goblet cell,0
7,granulosa cell,0
7,intestine goblet cell,0
7,keratinocyte,0
7,kidney collecting duct intercalated cell,0
7,kidney collecting duct principal cell,0
7,kidney connecting tubule epith. cell,0
7,kidney distal convoluted tubule epith. cell,0
7,kidney loop Henle thick asc. limb epith. cell,0
7,kidney loop Henle thin asc. limb epith. cell,0
7,kidney loop Henle thin des. limb epith. cell,0
7,luminal epith. cell of mammary gland,0
7,lung pericyte,0
7,mesothelial cell,0
7,mucous neck cell,0
7,myoepithelial cell of mammary gland,0
7,nasal mucosa goblet cell,0
7,near-project. glutamatergic cortical neuron,0
7,paneth cell,0
7,pericyte,0
7,pulmonary artery endothelial cell,0
7,pvalb GABAergic cortical interneuron,0
7,respiratory basal cell,0
7,respiratory hillock cell,0
7,retina horizontal cell,0
7,retinal cone cell,0
7,retinal ganglion cell,0
7,retinal rod cell,0
7,smooth muscle cell,0
7,tracheal goblet cell,0
7,tracheobronchial smooth muscle cell,0
7,type I pneumocyte,0
7,type II pneumocyte,0
